company,Company_Status,location,location_Status,industry,Industry_Status,total_laid_off,layoffs_Status,percentage_laid_off,Percentage_Status,date,Date_Status,year,Year_Status,Month,Month_Status,stage,country,funds_raised_millions,Funds_Status
&OPEN,Reported,DUBLIN,Reported,MARKETING,Reported,9,Reported,0.09,Reported,17/11/2022,Reported,2022,Reported,11,Reported,SERIES A,IRELAND,35,Reported
#PAID,Reported,TORONTO,Reported,MARKETING,Reported,19,Reported,0.17,Reported,27/01/2023,Reported,2023,Reported,1,Reported,SERIES B,CANADA,21,Reported
100 THIEVES,Reported,LOS ANGELES,Reported,CONSUMER,Reported,12,Reported,0,missing,13/07/2022,Reported,2022,Reported,7,Reported,SERIES C,UNITED STATES,120,Reported
100 THIEVES,Reported,LOS ANGELES,Reported,RETAIL,Reported,0,missing,0,missing,10/01/2023,Reported,2023,Reported,1,Reported,SERIES C,UNITED STATES,120,Reported
10X GENOMICS,Reported,SF BAY AREA,Reported,HEALTHCARE,Reported,100,Reported,0.08,Reported,04/08/2022,Reported,2022,Reported,8,Reported,POST-IPO,UNITED STATES,242,Reported
1STDIBS,Reported,NEW YORK CITY,Reported,RETAIL,Reported,70,Reported,0.17,Reported,02/04/2020,Reported,2020,Reported,4,Reported,SERIES D,UNITED STATES,253,Reported
2TM,Reported,SAO PAULO,Reported,CRYPTO,Reported,90,Reported,0.12,Reported,01/06/2022,Reported,2022,Reported,6,Reported,UNKNOWN,BRAZIL,250,Reported
2TM,Reported,SAO PAULO,Reported,CRYPTO,Reported,100,Reported,0.15,Reported,01/09/2022,Reported,2022,Reported,9,Reported,UNKNOWN,BRAZIL,250,Reported
2U,Reported,WASHINGTON D.C.,Reported,EDUCATION,Reported,0,missing,0.2,Reported,28/07/2022,Reported,2022,Reported,7,Reported,POST-IPO,UNITED STATES,426,Reported
54GENE,Reported,WASHINGTON D.C.,Reported,HEALTHCARE,Reported,95,Reported,0.3,Reported,29/08/2022,Reported,2022,Reported,8,Reported,SERIES B,UNITED STATES,44,Reported
5B SOLAR,Reported,SYDNEY,Reported,ENERGY,Reported,0,missing,0.25,Reported,03/06/2022,Reported,2022,Reported,6,Reported,SERIES A,AUSTRALIA,12,Reported
6SENSE,Reported,SF BAY AREA,Reported,SALES,Reported,150,Reported,0.1,Reported,12/10/2022,Reported,2022,Reported,10,Reported,SERIES E,UNITED STATES,426,Reported
80 ACRES FARMS,Reported,CINCINNATI,Reported,FOOD,Reported,0,missing,0.1,Reported,18/01/2023,Reported,2023,Reported,1,Reported,UNKNOWN,UNITED STATES,275,Reported
8X8,Reported,SF BAY AREA,Reported,SUPPORT,Reported,155,Reported,0.07,Reported,18/01/2023,Reported,2023,Reported,1,Reported,POST-IPO,UNITED STATES,253,Reported
8X8,Reported,SF BAY AREA,Reported,SUPPORT,Reported,200,Reported,0.09,Reported,04/10/2022,Reported,2022,Reported,10,Reported,POST-IPO,UNITED STATES,253,Reported
98POINT6,Reported,SEATTLE,Reported,HEALTHCARE,Reported,0,missing,0.1,Reported,21/07/2022,Reported,2022,Reported,7,Reported,SERIES E,UNITED STATES,247,Reported
99,Reported,SAO PAULO,Reported,TRANSPORTATION,Reported,75,Reported,0.02,Reported,20/09/2022,Reported,2022,Reported,9,Reported,ACQUIRED,BRAZIL,244,Reported
ABRA,Reported,SF BAY AREA,Reported,CRYPTO,Reported,12,Reported,0.05,Reported,30/06/2022,Reported,2022,Reported,6,Reported,SERIES C,UNITED STATES,106,Reported
ABSCI,Reported,VANCOUVER,Reported,HEALTHCARE,Reported,40,Reported,0,missing,09/08/2022,Reported,2022,Reported,8,Reported,POST-IPO,UNITED STATES,237,Reported
ACAST,Reported,STOCKHOLM,Reported,MEDIA,Reported,70,Reported,0.15,Reported,15/09/2022,Reported,2022,Reported,9,Reported,POST-IPO,SWEDEN,126,Reported
ACCOLADE,Reported,SEATTLE,Reported,HEALTHCARE,Reported,0,missing,0,missing,03/03/2023,Reported,2023,Reported,3,Reported,POST-IPO,UNITED STATES,458,Reported
ACKO,Reported,MUMBAI,Reported,FINANCE,Reported,45,Reported,0.09,Reported,01/04/2020,Reported,2020,Reported,4,Reported,UNKNOWN,INDIA,143,Reported
ACORNS,Reported,PORTLAND,Reported,FINANCE,Reported,50,Reported,0,missing,26/05/2020,Reported,2020,Reported,5,Reported,UNKNOWN,UNITED STATES,207,Reported
ACTIFIO,Reported,BOSTON,Reported,DATA,Reported,54,Reported,0,missing,16/12/2020,Reported,2020,Reported,12,Reported,ACQUIRED,UNITED STATES,352,Reported
ACTIVECAMPAIGN,Reported,CHICAGO,Reported,MARKETING,Reported,0,missing,0.15,Reported,03/10/2022,Reported,2022,Reported,10,Reported,SERIES C,UNITED STATES,360,Reported
ADA,Reported,TORONTO,Reported,SUPPORT,Reported,0,missing,0,missing,01/02/2023,Reported,2023,Reported,2,Reported,SERIES C,CANADA,190,Reported
ADA,Reported,TORONTO,Reported,SUPPORT,Reported,78,Reported,0.16,Reported,20/09/2022,Reported,2022,Reported,9,Reported,SERIES C,CANADA,190,Reported
ADA HEALTH,Reported,BERLIN,Reported,HEALTHCARE,Reported,50,Reported,0,missing,17/10/2022,Reported,2022,Reported,10,Reported,SERIES B,GERMANY,189,Reported
ADA SUPPORT,Reported,TORONTO,Reported,SUPPORT,Reported,36,Reported,0.23,Reported,24/04/2020,Reported,2020,Reported,4,Reported,SERIES B,CANADA,60,Reported
